#group,false,false,false
#datatype,string,long,dateTime:RFC3339
#default,,,
,id,p_count,time
,robo,1,2026-02-24T08:19:39.391508803Z
,robo,0,2026-02-24T08:24:39.940923857Z
,robo,0,2026-02-24T08:29:40.584297308Z
,robo,0,2026-02-24T08:34:41.140679466Z
,robo,0,2026-02-24T08:39:41.797612307Z
,robo,0,2026-02-24T08:44:42.368630718Z
,robo,0,2026-02-24T08:49:42.908181754Z
,robo,0,2026-02-24T08:54:43.548398574Z
,robo,0,2026-02-24T08:59:44.17301119Z
,robo,0,2026-02-24T09:04:45.56312813Z
,robo,1,2026-02-24T09:09:45.267510375Z
,robo,1,2026-02-24T09:14:45.948154059Z
,robo,5,2026-02-24T09:20:26.403506768Z
,robo,3,2026-02-24T09:26:06.603209313Z
,robo,1,2026-02-24T09:31:06.952695731Z
,robo,0,2026-02-24T09:36:07.590915543Z
,robo,0,2026-02-24T09:41:08.871487348Z
,robo,1,2026-02-24T09:46:09.512471418Z
,robo,1,2026-02-24T09:51:10.155144844Z
,robo,2,2026-02-24T09:56:10.790837627Z
,robo,5,2026-02-24T10:01:11.348397063Z
,robo,1,2026-02-24T10:06:11.987870321Z
,robo,0,2026-02-24T10:11:12.649653192Z
,robo,5,2026-02-24T10:16:13.184765904Z
,robo,0,2026-02-24T10:21:13.839035849Z
,robo,2,2026-02-24T10:26:14.510158013Z
,robo,1,2026-02-24T10:31:15.150185019Z
,robo,1,2026-02-24T10:36:15.709493414Z
,robo,0,2026-02-24T10:41:16.361305647Z
,robo,1,2026-02-24T10:46:16.913269582Z
,robo,1,2026-02-24T10:51:17.535182172Z
,robo,0,2026-02-24T10:56:18.093591616Z
,robo,3,2026-02-24T11:01:18.652779051Z
,robo,2,2026-02-24T11:06:19.293085034Z
,robo,2,2026-02-24T11:11:19.835251541Z
,robo,1,2026-02-24T11:16:20.38294991Z
,robo,0,2026-02-24T11:21:21.027230174Z
,robo,2,2026-02-24T11:26:21.580374056Z
,robo,0,2026-02-24T11:31:22.15939032Z
,robo,11,2026-02-24T11:36:22.902530533Z
,robo,4,2026-02-24T11:41:23.431120252Z
,robo,4,2026-02-24T11:46:23.987398795Z
,robo,0,2026-02-24T11:51:24.513805117Z
,robo,2,2026-02-24T11:56:25.061348958Z
,robo,1,2026-02-24T12:01:26.22554214Z
,robo,0,2026-02-24T12:06:26.790602113Z
,robo,6,2026-02-24T12:11:27.319206013Z
,robo,1,2026-02-24T12:16:27.978217358Z
,robo,0,2026-02-24T12:21:28.525121178Z
,robo,1,2026-02-24T12:26:29.177584982Z
,robo,2,2026-02-24T12:31:29.82371963Z
,robo,1,2026-02-24T12:36:30.367180579Z
,robo,1,2026-02-24T12:41:31.026130347Z
,robo,2,2026-02-24T12:46:31.677696275Z
,robo,0,2026-02-24T12:51:32.207608025Z
,robo,6,2026-02-24T12:56:32.771822202Z
,robo,1,2026-02-24T13:01:33.423241461Z
,robo,1,2026-02-24T13:06:34.073261037Z
,robo,3,2026-02-24T13:11:34.619952328Z
,robo,0,2026-02-24T13:16:35.168603816Z
,robo,3,2026-02-24T13:21:35.810306951Z
,robo,2,2026-02-24T13:26:36.462219893Z
,robo,0,2026-02-24T13:31:36.999669431Z
,robo,1,2026-02-24T13:36:37.663156108Z
,robo,3,2026-02-24T13:41:38.201967231Z
,robo,2,2026-02-24T13:46:38.860046137Z
,robo,0,2026-02-24T13:51:39.499536873Z
,robo,2,2026-02-24T13:56:40.052854778Z
,robo,3,2026-02-24T14:01:40.722437481Z
,robo,1,2026-02-24T14:06:41.37314219Z
,robo,3,2026-02-24T14:11:41.911427945Z
,robo,2,2026-02-24T14:16:42.547126612Z
,robo,3,2026-02-24T14:21:43.202441202Z
,robo,3,2026-02-24T14:26:43.747441972Z
,robo,2,2026-02-24T14:31:44.905736867Z
,robo,3,2026-02-24T14:36:45.563673938Z
,robo,1,2026-02-24T14:41:46.097688063Z
,robo,1,2026-02-24T14:46:46.663608378Z
,robo,1,2026-02-24T14:51:47.300076443Z
,robo,1,2026-02-24T14:56:47.845553488Z
,robo,0,2026-02-24T15:01:48.502635368Z
,robo,0,2026-02-24T15:06:49.043311597Z
,robo,1,2026-02-24T15:11:49.6961543Z
,robo,0,2026-02-24T15:16:50.243714536Z
,robo,3,2026-02-24T15:21:50.910190801Z
,robo,1,2026-02-24T15:26:51.461397093Z
,robo,0,2026-02-24T15:31:51.990734142Z
,robo,1,2026-02-24T15:36:52.668527235Z
